,carcatvalue_2,carcatvalue_3,card2_2,card2_3,card2_4,card2_5,card_2,card_3,card_4,card_5,cardtenurecat_3,cardtenurecat_5,carown_0,carown_1,commute_4,inccat_2,inccat_3,inccat_4,inccat_5,reason_2,retire_1,spousedcat_1,spousedcat_4,total_spend_bx,actual_total_spend,pred_total_spend,Deciles
2481,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.310803823943694,238.12999999999994,612.5002274148387,8
606,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8.100054489412642,216.15000000000015,252.03625089617105,0
4098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.485726697433439,602.32,506.6586170493218,7
1423,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7.0814133386933795,132.68000000000004,363.3539326676491,4
813,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8.279696053237883,234.77,295.0512751330479,1
2518,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9.538315602752899,408.1499999999996,304.7207396835553,2
2055,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.546720044085346,264.9799999999998,581.7084383942027,8
863,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9.382064975471017,381.96000000000004,327.55019626082907,3
932,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7.797789183019186,187.6699999999999,200.34475932841946,0
2882,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,8.205121265106957,226.8800000000002,293.09603884379834,1
1210,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6.646328608369554,106.54999999999997,370.73012949264273,4
4122,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.138449743462411,343.99999999999994,317.62567578447846,2
1473,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,10.661929069570666,646.0199999999993,321.65211626921734,2
4768,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.908121566000599,311.1300000000001,435.6207090943105,5
4606,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.454610665391168,159.29000000000005,324.6196501545892,2
4445,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6.21948359368172,85.33000000000003,452.4071074008427,6
4863,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,9.689773133377717,434.9899999999999,765.2711224680162,9
4757,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7.4552598905125445,159.33999999999986,430.8602173675364,5
2701,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6.952484134660852,124.42,232.36764448943265,0
448,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,10.74044263476917,666.3499999999999,583.5780504578101,8
4388,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.450572598387206,253.73999999999992,261.95777527296474,1
3855,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.35305821767931,377.26000000000005,443.4387153026624,5
1714,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,9.081993621191872,335.68,385.00883815703105,4
2288,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,8.887698485169613,308.3500000000001,435.1650590423822,5
4292,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8.284442220633672,235.28000000000026,537.3035720147788,7
792,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,10.114879899759195,518.5500000000001,466.03810224641717,6
1607,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,10.737773600755114,665.6499999999999,442.91771973031064,5
4635,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8.991475480750205,322.6999999999997,327.55019626082907,3
463,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.797880072100066,455.06000000000006,565.8299995500095,7
172,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8.991475480750205,322.6999999999997,340.39653125748555,3
4744,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,9.853493545269634,465.68999999999994,367.1416117090385,4
536,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,7.774205112221631,185.59000000000003,411.18877199182924,5
3460,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.140279397350579,523.9500000000002,602.7423203160861,8
4215,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.280202295778178,554.5699999999997,294.2433950090737,1
4485,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,9.845660299748506,464.17999999999995,418.34748956169676,5
2908,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,12.723379926691834,1396.800000000001,943.8392803602418,9
4466,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.954144639599944,485.46999999999986,345.11179270587525,3
2336,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10.358483966769091,572.3599999999999,453.9682265066921,6
2116,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,9.551623502637755,410.4500000000004,398.70559461802696,4
670,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.993602619690684,1536.0699999999983,592.0545281737768,8
4284,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,8.361282974348345,243.67000000000004,425.0862269933082,5
1910,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,8.139536823672085,220.13,282.7407001731516,1
2273,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,10.244567455365294,546.63,253.94967111634685,0
781,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8.317879692728605,238.90000000000003,355.53495458971946,3
1459,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,7.173598121767032,138.87,312.84094188933403,2
1039,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.45710059213148,254.49,314.8123014490539,2
2011,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,8.794024864854713,295.87000000000035,448.0787272391875,6
2562,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.516227237609492,261.36999999999995,250.4865342659006,0
3863,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9.071274888065611,334.11999999999983,212.15383857658736,0
2566,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10.993988185776969,735.7899999999995,557.1153973067729,7
2382,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.2866120547332,366.67999999999955,302.1686807430445,2
241,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,8.75112038616343,290.2999999999998,368.4248396065514,4
1719,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,11.151940549464861,782.1099999999993,452.76582376573106,6
3991,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,8.45579631306379,254.33999999999992,338.4116659287687,3
1580,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.063621961449494,333.0099999999998,285.39809777561857,1
2767,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,13.387153617231618,1760.1024000000039,421.52008631225857,5
4421,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,8.896165934354366,309.4999999999997,381.98412256191665,4
4235,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,9.442477707527239,391.90999999999946,438.25031341482196,5
2476,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.590996728547692,417.32000000000016,283.5861252224023,1
3338,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,8.853481125924986,303.73999999999967,344.38984818539126,3
547,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9.972630583900054,489.18000000000006,504.44348384566194,7
582,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,10.493155987105471,604.1100000000001,326.53410139917014,3
1973,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,10.246418363879346,547.0399999999998,385.00883815703105,4
3571,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.856445471184679,192.9299999999998,348.9435089291063,3
2803,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,12.138936085258512,1132.1100000000006,533.0507016406016,7
3507,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.89162101537135,473.10000000000014,575.7246069299725,8
4454,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,12.695342086225589,1382.9900000000014,768.9141247142878,9
1637,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,8.495240841876688,258.90999999999997,392.72980865716664,4
3643,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10.627365004055365,637.2400000000008,471.4253092989525,6
1588,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7.042362437179625,130.12999999999997,248.8239316445919,0
4547,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.528771814510934,262.85000000000014,215.89954663418152,0
1595,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,11.31627197908854,832.9300000000004,474.5916948085946,6
3910,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8.928969868530078,313.9900000000001,483.1740546256113,6
1272,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10.471187104955677,598.8300000000003,290.5718526684487,1
2724,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.366666748753725,152.64000000000019,291.57757595490637,1
731,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.060842909329782,507.21999999999997,272.35763955199474,1
2799,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.480615829390216,97.83000000000004,314.8123014490539,2
3240,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.287730578970416,556.2599999999993,322.6551860689978,2
1894,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,8.5915097206693,270.36,218.69895020778847,0
2166,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,7.858538478852634,193.12,511.61868190696396,7
907,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,9.564408068204655,412.67000000000036,595.7359622071665,8
1721,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,11.083255592754504,761.6700000000009,698.2196344514927,8
3346,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,11.950731249975947,1056.6,800.081023714578,9
982,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10.131133336044412,522.0000000000002,462.13053619166254,6
936,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8.970754950772207,319.79000000000025,303.784871077012,2
4888,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11.47423179582161,884.4200000000009,449.58390831766343,6
3406,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10.61319428554504,633.669999999999,533.0507016406016,7
1980,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.5875122788257015,169.80999999999992,415.44305815878096,5
2840,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8.989630688265688,322.4400000000004,350.7346823074036,3
3641,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,11.80218976612088,1000.089999999999,606.6502061400477,8
4749,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.1047999679791,339.0200000000007,311.45641194954186,2
3985,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10.384071821276837,578.2800000000001,525.618513519503,7
629,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,9.561131176874557,412.09999999999997,751.7056099849763,9
873,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.131274266195035,522.0299999999994,322.6551860689978,2
324,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,12.851073628336103,1461.2,467.05706147256575,6
783,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8.356044501104405,243.0900000000001,312.5824306719553,2
383,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,11.358354711627296,846.3899999999994,470.62854823369076,6
2592,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,11.455274352502576,878.0999999999998,412.16256309802037,5
425,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,9.026986870953406,327.7400000000004,392.7382956874922,4
2846,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,8.07886964555739,214.0400000000001,230.13958746090094,0
428,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.227562356034294,229.23,366.23604592967115,4
2635,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,11.148516426827136,781.08,625.1769630682498,8
852,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,11.563393584123109,914.6699999999997,483.7143619193224,6
1337,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9.182738896749585,350.65000000000015,600.467527522844,8
4492,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12.23353906693618,1171.7799999999988,916.0270846745219,9
682,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.617840064901664,422.0599999999999,302.1686807430445,2
2222,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,11.555393215627234,911.92,427.0828205798997,5
4079,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,9.889422522001476,472.6700000000002,421.30032590022273,5
808,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.515124569561247,58.19760000000002,252.88218557522507,0
